days,title,body,status,switch
2022-09-29,Pythonライブラリ🐍,"### 過去歴

> geturinという、Bignyancoに寄せたプロジェクトをPyPIに登録していたのですが、

もう少ししっかりしたライブラリを書こうと思い登録を解除しました。

※ 時間はかかるかもしれないけれど、

何かのライブラリを登録するまでお待ちください。

> もとのtakkii/moonはGitHubプロジェクトとして使えるように、

最小構成にしてアーカイブしてあります。",false,false
2022-01-05,did_you_meanに対処🚆,"### 変更点

```markdown

Calling `DidYouMean::SPELL_CHECKERS.merge!(error_name => spell_checker)' has been deprecated.

 Please call `DidYouMean.correct_error(error_name, spell_checker)' instead.
```

重要な記事ではないため、

リンク先を削除しました。

<s>これに対応しました。</s>

<s> Qiitaに投稿</s>

<s>[Railsの謎メッセージ対処]</s>

<s>文章化成功💡</s>

",false,false
2023-03-29,いいね機能,"#### 機能改修 (2023/03/27)

- いいね、いいね解除をスマートにしました。

- 期間限定内、いいねといいね解除をセットしました。

_機能改修しました。_

※ この記事は非公開です。",true,false
2022-10-31,ハッピーハロウィーン🎃,"### 更新履歴

```markdown
・ CWの登録解除、1年大きな仕事を受託しなかったため。

・ github.ioの更新、ハロウィーンの更新。

・ Vectorからたどれるpage3の内容更新。

・ 現在のGitHubパネルの表示。ハロウィーン仕様。
```

※ 節目になる日です。これからも前進していきます。応援してください。",false,false
2024-04-25,Qt関連,"- Qt for C++

※ マルチプラットフォームでビルド可能

- QtJambi

※ マルチプラットフォームでビルド可能

#### マルチプラットフォームとは、

> Windows11 Home / MacOS Sonoma / Ubuntu20.04を示す。

以上
",true,false
2022-09-29,不具合情報❎,"### 問題点

１．Intel_Macで発生した問題

#### Imagemagickでrubyのrmagickをインストール

> Can't find ImageMagick with pkg-config

※ これが流れて二進も三進もいかない。

> homebrewでimagemagickを入れ直し、

pkg-configにpathをつなぐなどしても意味がありませんでした。

> pkg-config --list-allで見るとセグメンテーションフォルトで詰まりました。

issuesなどの解決方法でもうまくいかず...

```markdown
# rmagick 4.2.6, 4.3.0, 2.16.0, 3.1.0, 3.0.0 ... 
(全バージョン対象か)

・ Imagemagickは、homebrewでインストールできる最新。

(取り込まれた修正が問題のような...)

※ 4.2.6のとき、過去のimagemagickでビルドできていた。

更新してビルドできなくなった。
```

> mini_magickに変えてインストールで動作確認すると動く。

メモリの消費も抑えられてよいことがあるもの。

> Unix環境もM1などに対応していくことにより、Intel環境で開発は険しい道のりです。

代替えがいつまで有効か心配はあります。",false,false
2023-04-01,エイプリルフールはしない,"- googleアナリティクスを解除しました

- fontawesomeの要らないリンクを消しました。

- 2点、ローカルとサーバ対応しました。

- 依存ライブラリ、プロジェクトWiki内ライセンス情報を更新しました。

※ 大分、よくなりました。",true,false
2023-03-30,機能改修③,"- ライクモード削除

- レイアウト修正

> ハートがボタンに隣接するように変更

- サーバ、ローカル対応

- データベース入れ直し

- トップページ、ハートとカウント数が見られるように変更しました。
 ∟ カウント数0のみ灰色にしました。

※ 作業記録",true,false
2023-04-02,県議会選挙,"- 県議会選挙の期日前投票に行ってきた。

- 良い山、Rubyのバージョン更新対応。

- にゃそこん3の依存ライブラリを入れ直し。

以上",true,false
2023-03-24,更新履歴,"にゃそこん3側 (2023/03/23)

- Rubyのバージョンアップに対応しました。
- 依存ライブラリ、テスト時のみを解除しました。
- データを入れ直しました。

> 地方では桜の開花宣言がありました。

もう季節は春ですね。桜を見に行きたい。",false,true
2022-06-26,日めくりTS📆,"### 取り込み🍅

```markdown
・ にゃそこん参カスタムが稼働しているサーバのロケールを取得し表示するようにしました。

※ 日本語(ja_JP.UTF-8)と表示されるのは、

にゃそこん参カスタムがWindows環境で動作の場合のみです。

機能開発時にそう表示させていました。
```

※ 独自機能を取り込みました。",false,false
2022-06-22,8/21までプレビュー版が使える🔧,"

> 1通のメールが来ました。GitHub copilotをset upするようなメールでした。

使っていたので、不思議に想いました。よく読んでみると、

```markdown
・ 料金プランが発表され、プレビュー版から正式版に変わるようです。

おおよそ月額10ドル、年間で100ドル程度との発表がありました。

・ 料金プランがあるということは選択肢になりました。

正式版を使うために、また予算を組んでいきたいと想います。

それまで、プレビュー版を解除して気を長く待ちます。
```

※ あると便利な機能。",false,false
2022-05-24,コワーキングスペースへ🚴,"### 行動記録

```markdown
・ コワーキングスペースへ行ってきた。

年配者のみ書籍を読んだり、

写真を撮ったりしていた。

大学生はいなかった。

・ ポスト確認、何も無し。

何もないよさを感じている。

上を見ると連番の延長線があった。

シェアオフィスよりコワーキングスペースのほうが需要があるようだ。
```

🚴自転車で行ってきた。少し疲れた。",false,false
2023-04-08,タイトル付与,"- タイトル、ページネーションをトップに追加しました。

- csvファイルを更新しました。

以上です。",true,false
2023-04-10,タイトルなし,"- ログイン前、タイトルをなしに変更しました。

- ページネーション、上部にあったのを解除しました。",true,false
2023-05-01,GWの更新。,"- 記事一覧、管理者とユーザのログインでCSVボタンを表示するようにしました。

- 記事一覧、期間限定とトップで表示するようにしました。

- サーバに反映しました。

更新履歴。",true,false
2023-06-10,仕様変更、認証部分,"- 2段階認証を導入した。

> current_userのidとログイン後のidが一致しないとき、raiseを起こすようにした。

- ログイン後、2段階認証の位置へリダイレクト、各コントローラでbefore_actionの処理。

※ 最小限のログイン認証。完全を求めるなら、devise_controller.rbを作成し修正する。

以上。",true,false
2023-04-25,追加変更分,"<s>サーバ側、スイッチ(実験的機能)を追加しました。</s>

- サーバ側、スイッチ(切り替え)に変更しました。2023/04/30、更新分。

- ローカル側、スイッチを切り替えに変更しました。

※ 追加変更。",true,false
2023-04-04,デバッガ、golang対応。,"- neovim、neoruby-debuggerをrails対応

         ∟ 内容を更新。debug = 1、動作確認。

- golang、sublimetext/neovimで補完など一式を設定

          ∟ 書けるようにしました。

> PG::UniqueViolation: ERROR: 重複したキー値は一意性制約違反となります

- タイトルが重複するとユニーク制約によりエラーを返します。気をつけよう。

以上。",true,false
2023-04-06,スイッチ式,"- ログイン前後トップページ、期間限定トップページ、ブログ側閲覧の4項目。

※ 切り替えにチェック時、4項目に反映します。更新: 2023/04/08

<s>ユーザ側トップページのみ</s>

- チェックした記事、本文のみ背景(白)と文字(黒)に色が変わるようにしました。

※ rails-ujsでJSが着火するようになり、ライクモードが不要になりました。

> 新たに作り直した実験的機能です。構想により仕様は変化します。",true,false
2024-04-27,ひめくり更新。,"- ミニテストを改良しました。

- メソッドを呼び出して評価します。

- バージョンを上げました。

以上",true,false
2024-05-01,BMI測定器,"### BMI測定器を作りました。

- rubygems/bmiを作りました。

- GitHubで公開しています。

- ライブラリ化しました。

- CLIとして動作します。

- wikiもあります。

以上",true,false
2024-05-07,検索エンジン最適化,"### 仕様

> C++

- 1~3項目、検索方式を変更する

- riceでruby拡張機能にする

- にゃそこん参ぴーじーるんがに取り込む

> Ruby

- 構造化束縛をする

- 機能としてライブラリにする

- Rails拡張機能として最適化する

※ 少しずつ進めていく。",true,false
2024-05-07,GitHub Package,"### BMI測定器をGitHub Package化しました。

> gem install bmi -v 1.0.2.2

※ これで入りますが、トークン登録が必要です。

以上",true,false
2024-05-12,DVD-R,"- 注文したDVD-Rが届いた

- LinuxMintをUbuntuマシンに入れた。

- Goneovimの設定をした。

※ 便利になった。使いやすい。",true,false
2024-05-14,GitHub dependent bot,"- takkii.github.io

- nyasocom_sun_pgroonga

※ 対応しました。依存ライブラリが古いらしいです。",true,false
2024-05-21,ライブラリ更新,"- takkii.github.io

- nyasocom_sun_pgroonga

※ 更新対応しました。",true,false
2024-06-04,GitHub Copilot 解約,"> GitHub Copilotを解約しました。

- 補完リストに表示される内容がよくないためです。

- 作業が宙ぶらりんになります。だから解約しました。

※ LSPの補完リストで満足しています。",true,false
2024-06-15,ruby 3.3.3に対応。,"### にゃそこん参ぴーじーるんが

- ruby 3.3.3に対応

- Gemfile更新

- npm更新

※ Rubyのバージョンと依存ライブラリを更新しました。

以上",true,false
2024-06-19,にゃそこん参カスタム,"- 依存ライブラリファイルの削除

- GitHub Actionsを解除

- メガテン5 V、DVD2枚届いた。

以上",true,false
2024-06-23,ゲームソフト🎮,"#### メガテン5 vengeance

- 20時間ぐらい遊んだ。

やりこみたい。

以上",true,false
2024-06-26,にゃそこん初号機を改良②,"- オブジェクト指向に対応しました

※ 処理をタグ内に置くことを止めました。

以上",true,false
2024-06-25,にゃそこん初号機を改良①,"- インターネット接続が必須ではなくなりました。

※ 大規模な変更です。

- タイトルのみタイムラインを出力

- ハイパーリンク解除

- 各投稿日表示→最近の投稿日のみ表示

※ 上記のように変更しました。

以上",true,false
2024-07-07,七夕🔖,"- neoruby-debuggerを更新

かなりよくなりました。

以上",true,false
2024-07-14,dps-zella,"- GitHub Actionでアサーションチェック導入

- dps-himekuriとdenops_stdバージョンをlatestにアップグレード

※ 曜日判定が違っていないか確認

Node.js / TSで書いている。

",true,false
2024-07-25,にゃそこんOSSを改良🌟,"- feedjira.rbを更新

- フォーマット対応

などブラッシュアップしました。
",true,false
2024-07-28,時刻の調整,"```ruby
require 'time'

Time.new.getlocal('+09:00')
```

※ 日本時間に設定しました。
",true,false
2024-08-03,neoruby-debuggerを調整🔧,"- rdbg機能を追加

- rubygems/rdbg内を探査する機能を削除

※ v1.1.10(v1.2.0の手前)に残した。

- v1.2.0のリリース

以上",true,false
2024-08-04,productionモード,"- developモードから入れ替え

- DB、データ、ユーザが対象

- コメント削除など調整

設定の見直し、本番環境スタート。",true,false
2024-08-05,日付の調整,"- Date.today→Time.nowに変更しました。

- 不要な呼び出し、require 'date'を削除しました。

- 変更をwikiにまとめました

- go_straight、日付の調整をしました。

- neoruby-debugger、テスト用。

ファイルが存在しないエラーメッセージを流す項目をelse文に入れました。

端末上で実行しrdbgのパスを見つけることを想定しています。

※ これで時差のずれがなくなると想います。

以上",true,false
2024-08-06,PCラック,"#### Amazonにて

- キャスターを買いました。

- 送料、430円 (Amazon Primeを検討中)

これで、木箱に置かなくてよくなった。

以上",true,false
2024-08-09,作業 (立秋過ぎ:2024),"- Linux Mint 21 → 22にアップグレード

- Neovimの利用を解除、vscodeに移行

- Netflix、マイ評価でいいね消した

- Lubuntu、HackGenをNeovimに設定

         ∟ デバッグ時アイコンが見れるようになった。

- :DefxF、解除した。これはアイコン非表示。

- キッチンペーパーを買ってきた。スギ薬局。

※ 記録は以上。",true,false
2024-10-07,コメント機能非同期処理実装,"- 投稿 → 更新ボタンを押す → 反映

- 1週間分削除 → 更新ボタンを押す → 反映

※ トップページ下にあります。

コメントは、一時保存用です。

Ajax版コメント機能非同期処理実装でした。",true,false
2024-10-09,コメント機能リファクタリング,"- ユニバーサルデザインを意識した

※ 各ボタンを隣接させた。投稿、削除、再読み込み。

- 部品を単体で読み込む仕様にした。

- トップページの上部、再読み込みボタンを削除した。

- 1週間分削除 → 期間限定削除にリファクタリングした。

以上。",true,false
2024-10-01,マルチコメントビューアー途中経過,"### 不可能案件

- 反省点、不可能案件ということに気づくのが遅れたこと。

#### 理由

- 実際に、curlコマンドでメッセージ取得ができる状態を用意していないため。

次は、0円で途中キャンセルを求められないようにしよう。

_請負の法律と下請法違反を許容するサービス、ランサーズ。_",true,false
2024-10-14,ルブントゥ側,"- Linuxカーネル、にゃそこん参ぴーじーうぃんで起動確認

- pgAdmin4、nyasocom_beta_developmentにアクセス可能、テーブル内一覧表示

- Zen Editor、LSP表示可能

※ Windows→ルブントゥに開発環境移行！

以上",true,false
2024-10-16,朝活、VS編,"- Visual Studio 2019 / 2022 Community版

> 学生、オープン ソース、個人の開発者向け

> 個人開発者の方、
独自の無料/有料のアプリを作成するため

使用用途を確認。

商用利用の範囲を知り、Professional版でビジネスに利用できることがわかる。

所持しているのは、サブスク版じゃなく買い取り版なので何世代か前のバージョン。

NuGet Pakage maneger

古いバージョンでも最新の実装を置き換えることで実行できる。

よい朝活だった。

[visual studio 詳細](https://visualstudio.microsoft.com/ja/vs/community/)

[visual studio ライセンス](https://visualstudio.microsoft.com/ja/license-terms/vs2022-ga-community/)",true,false
2024-10-17,Ruby補助金公募問い合わせあり,"- 笹田さんからなぜか、メールで連絡が届く。

> 私用のGmailと企業のメール。

→ 不思議なこともあるね。2通送りました。

長文で書きました。想いはありますね。

やるべきことはやりました。後悔はない。

- にゃんこ、市役所で選挙の投票をしてきた。

- クスリのアオキ、ゲンキーで買い物をしてきた。

※ 本日、サーモスの商品が届いた。",true,false
2024-10-18,疲れた。,"- 補助金の採択、見送りになりました。

- GitHub、[takkii/neoruby-debugger](https://github.com/takkii/neoruby-debugger)をアーカイブ化しました。

それに伴い、アナウンスを入れました。

※ メールを2通長文で返信するのはしんどかった。

しかし、誤字脱字はなかった。相手を丁重に扱ったのは事実。きちんとRubyコミッタと向き合いました。

どこの企業も資金繰りに苦労している様子。私だけが佳境にいるわけじゃないことは自覚するべき。

",true,true
2024-10-19,Until Know Editorと名付けました。,"#### UKEditorを正式名で呼ぶことにしました。

決して、UnkoEditorではありません。

- Until Know Editor

 「編集者を知るまで」と言うニュアンスです。

「あなた(編集者)のやりたいことを知りたい」と意訳してくれればよいです。

- 設定機能を削除

 一時的に変更が適用されますが、

起動すると変更が解除されます。

これはうれしくないです。

なので、消しました。

いずれ、ダークモードを実装します。",true,false
2024-10-20,本日、本体更新。,"- Gemfile.lock

- sass、非推奨の記述、警告の抑制フラグ追加

- package.json、yarn.lock更新

以上

> にゃんこと、スギ薬局へお菓子とコーラなどを買ってきた。

> にゃんこは、ゆうちょpayを使ってみた。肌寒い1日だった。",true,false
2024-10-21,或いは、重なり合うような。,"- go_straightを複製したoverlapを作りました。

PHP辞書をpandasで高速化し表示します。

- 私が起動したRuby関連の全てのプロジェクトをアーカイブ化しました。

本日が事実上の完全撤退日です。

- それに伴って、shopify関連のツールから離脱します。

solargraphなど代替えに移行します。

以上
",true,false
2024-10-22,ドキュメント更新。,"- overlap、wiki内ドキュメントを更新しました。

以上",true,false
2024-10-24,PHP辞書、過去に対応,"- 新バージョン辞書生成のみだった現状

- 過去バージョン辞書に対応しました。

単語数は劇的に増えました。かゆいところに手が届くPHP入力補完リストになりました。

※ Neovim用になるが、nvim-dapを使ったPHPデバッガを作成することを検討中。",true,false
2024-03-23,メカニカルキーボード,"- 念願のメカニカルキーボードを手に入れました。

- 想えば、大分長いことHHKBの有線キーボードを使っていました。

- 慣れず、使いにくいと想っていたので今のキーボードをかなり気に入っています。

> これからフリーランスとして使っていきます。",true,false
2025-01-03,人生をやり直す時,"人生は何回か、分岐点がある。

私は一病息災なので、特権を生かして生きていく。

なぜか、その方がうまくいく。

フリーランスに戻り、夢の続きをしていく。

売り上げ重視、やりたいこと後回し。

外出して、帰宅時間はリーマンと同じ。

自分時間を大事にするために、

今できることをしていく。",true,false
2025-10-01,誕生日イヴ。,"### 顔認識システムの修正を入れた。

ユーザテストを繰り返した。

照明をつけて顔写真を撮影すれば問題ない。

- 45歳、誕生日の前祝い。

> これからの1年もよい年を過ごせますように。

毎年そう言いながら、笑えたためしがあまりない。

「艱難辛苦、かかってこい！」

※ エクソシストのきよしくんより抜粋。
",true,false
2025-10-02,誕生日,"### バージョンアップ

- にゃそこん参ぴーじーうぃんのバージョンを上げようと思う。

> 3.2

※ このバージョンは安定版にしたい。

定期メンテナンスはしていく。",true,false
2025-10-05,睡眠不足,"### 妻の睡眠不足の日。

睡眠薬(安定剤)を飲ませて1日おやすみ。

ゆっくり過ごそう。",true,false
2025-10-06,バージョン情報作り変え,"- core.rbから呼び出しに変えた。

- ☒が含む文字列で挙動を変えた。

> 私の作った機能。

表面は同じに見える。

- pass.txtの中身と名前を入れ替えた。

生成と動作、ユーザテストは問題ない。",true,true
2025-10-08,にゃそこん用ツール,"### Rubygems/grouse登録

雷鳥(grouse)は、にゃそこん用ツールです。

- 日付

- pgroonga内libgroongaバージョン

- にゃそこんバージョン(.envを利用)

※ nyasocom_sun_pg_winの依存ライブラリにしてあります。

> bundle update

上記プロジェクト内で自然に入ります。

特にコーディングの必要はありません。",true,false
2025-10-10,お祝いの日は更新祭り。,"- sheltered-girl

- grouse

- nyasocom_sun_pg_win

※ 3つのプロジェクトを更新しました。

妻の母が喜寿を迎えられたということで、

定期メンテナンスを実行しました。

企画

- python3で2回遭遇した何も出力しない。

List of Rangeがバックトレースで流れます。

これをなんとかしたいので、

仮説を立てました。

未定義と思われる何も無いところに、

値の参照ライブラリを作り、

```c
String element = ""None"";
```

値を自動で入れ、

動的に値を変更できるようにRustで借用を使って、

書きたいと思っています。

今回は、長期でコーディングしていきます。",true,false
2025-10-11,イヌワシ,"🔄更新

- python3.14.0に対応できなかった。

- numpy

古いバージョンがopencv-python依存ライブラリになっている。

※ 依存ライブラリnumpyが最新ではないため、

python3.13.8に固定するなど、定期メンテナンス🏄‍♂️をした。

> リリース、v1.0.5.4

- 線の色をピンク → グリーンに変更した。

- 線の太さを2→3に変更した。

デザイン👩‍🎨の変更をした。

> リリース、v1.0.5.5

以上
",true,false
2025-10-16,顔認識,"### 機能変更歴

- イヌワシの解除

- 評価プロジェクトに内部を移植

- 評価後の画像を起動(緑色の枠あり)

※ 動作確認済み、ユーザテストクリア。",true,false
2025-10-21,Jetbrains製RubyMine.,"- 非商用ライセンスがあった。

- 顔認識、pass.txtを読み込むのは成功した。

- ユーザテストで動作確認をした。

<s>IPアドレス認証でミスマッチがあった。</s>

※ Windowsの更新とともに消えた。

以上。",true,false
2025-11-01,ハロウィーン,> 昨日、ハロウィーンだったので画像を貼り付け。,true,false
2021-08-18,himekuri2を更新しました。,"<h3>変更点</h3>

<pre class=""code lang-markdown"" data-lang=""markdown"" data-unlink>・ rice3からrice4に対応しました。
・ windows環境に対応しました。(himekuri2<span class=""synError"">_</span>winでビルドしました)
→ プロジェクト外で実行するとロードエラーを返すのに対処しました。
・ 不要なrequireを消しました。
</pre>


<p><s><a class=""keyword"" href=""http://d.hatena.ne.jp/keyword/windows"">windows</a>環境に対応しました。(himekuri_c_plusplusでビルドしました)</s></p>

<p>以上です。</p>",false,false
